nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1590,Ahkom Nahl,2023-09-13T01:40:55Z,"Jika sy punya wewenang, ditanya apa yg akan sy lakukan dilakukan?<br>Kumpulkam barang bukti disamping semua pelaku, langsung bakar semua. Dan habisi semua pelakunya di tempat saat itu juga. Tanpa sisa!",saya wewenang saya laku kumpulkam barang bukti samping laku bakar habis laku sisa
1592,Melki Dadi,2023-09-13T03:03:29Z,"Kasus puluhan milyard saja menguap apa lagi sampai 10 T.<br>Klo awal begini hukum masih tampak garang.,dalam perjalanan entah kena hujan, panas, dan angin malam bisa masuk angin lalu meriang.<br>Kasuspun dipidana bebas bersyarat, menjelang hari proklamasi mendpt remisi bebas.😂😂😂",puluh milyard uap hukum garang jalan hujan panas angin malam angin meriang kasus pidana bebas syarat jelang proklamasi mendpt remisi bebas
1595,Darsono Darsono,2023-09-19T17:36:47Z,Beking perdagangan narkoba satu tni dan polri dua imigersen  kalao polisi dan tni tidak jadi beking  sudah tidak ada yang namanya nar koba karena  contah tki membawa tembakkosaja di bandara ditangkap membawa jarum saja kena tangkap kok ada kkb ada gam  yang sudah ter jadi timor2 kanana gosmo tni hapus 1 orang saja tak bmampu  matinya perajuret utok apa jadi pengalaman yang lalu harus di ingat siapa yang jadi peng hianat negara,beking dagang narkoba tni polri imigersen kalao polisi tni beking nama nar koba contah tki bawa tembakkosaja bandara tangkap bawa jarum tangkap kkb gam ter timor kanana gosmo tni hapus bmampu mati perajuret utok alam peng hianat negara
1598,Paul Buulolo,2023-09-15T22:36:31Z,"Herannya kenapa sampai sekarang sindikat Narkoba banyak di RI.<br>Kenapa tidak pernah berhenti??<br>Aparat dan Tuhanlah yg tau.<br>😅<br><br>Sana sini ditangkapin para pengedar, agen Narkoba.<br>Di dalam penjara krn agen bnyak uang dpt kamar VIP, bberapa bulan di Sel eh udh bebas.<br>Rahasia umum sih ini yg dikasih tau org yg pernah masuk sel lalu bebas😂😂",heran sindikat narkoba ri henti aparat tuhan tau ditangkapin peedar agen narkoba penjara karena agen banyak uang dpt kamar vip bberapa sel eh sudah bebas rahasia umum kasih tau orang sel bebas
1601,OnlineNews,2023-09-13T18:02:08Z,"Waduh jangan ganggu acak2 dapur penghasilan orang dong!......kan prostitusi, narkoba, judi online menggerakan perekonomian dan investasi masuk...cuan..cuan...cuan",ganggu acak dapur hasil prostitusi narkoba judi online gera ekonomi investasi cuan cuan cuan
1603,Utu Kiss,2023-09-14T16:03:43Z,Klu bisa korupsi juga harus di tembak mati.bukan cuman narkoba yg di tembak mati.itu harapan kami sebagai masyarakat supaya nda ada lagi yg berani korupsi.,kalau korupsi tembak mati cuman narkoba tembak mati harap masyarakat nda berani korupsi
1605,Yohanes Boediono,2023-09-17T15:02:44Z,MHN PAK POLISI KLO WARTAWAN TANYA BGM TEHNIK KERJA POLISI BISA SUKSES JANGAN DIJAWAB. PAAK RAHASIA         BRAVO POLISI.,mhn polisi wartawan bgm tehnik polisi sukses paak rahasia bravo polisi
1606,Makhluk Tuhan,2023-09-16T23:48:44Z,"Polisi Indonesia : ini tangkapan besar harus di usut tuntas<br>Bandar : ini hanya masalah kecil, tetap lanjutkan peredaran biar merasa mereka (polisi) bekerja. Siapkan uang kita suap mereka biar jln lancar<br>Wkwkkwkwkw semua sudah ada jalurnya",polisi indonesia tangkap usut tuntasbandar lanjut edar biar polisi siap uang suap biar jln lancarwkwkkwkwkw jalur
1616,Mujiono Le,2023-09-16T13:42:46Z,"Hukum mati aja bandar narkoba ,dan juga beking bandar ,dan pengedar hukum mati yg pantas buat mereka karena mereka pembunuh masal secara perlahan,LBH kejam dari PKI hukuman mati buat bandar ,,beking ,pengedar",hukum mati aja bandar narkoba beking bandar peedar hukum mati bunuh masal perlahan lbh kejam pki hukum mati bandar beking peedar
1622,Tiah Tiah,2023-09-17T04:49:53Z,"Semoga negara kita punya polisi yng hebat2  jangan terjadi lagi salah sasaran tukang bangunan d matiin, blm tentu salah, siapa yng tanggung jawab anak nya yatim",moga negara polisi yng hebat salah sasar tukang bangun matiin blm salah yng tanggung anak yatim
1625,Nona NARRA,2023-09-13T05:08:19Z,Aset2 tanah ko d rampas ya ? Apa polisinya tau kl aset2 itu dr bisnis itu ? Kl bru d duga knp d rampas,aset tanah ko rampas polisi tau aset dr bisnis baru duga knp rampas
1630,Robin Pratama,2023-09-14T07:42:32Z,"Jaringan internasional .. Bisa bertahan lama, pasti ada oknum aparat yg melindunginya ! Jika dilihat nominal aset yg tertera .. Fantastis ! Selamat atas prestasi, atas kasus peredaran narkoba terbesar .",jaring internasional tahan oknum aparat lindung nominal aset tera fantastis selamat prestasi edar narkoba besar
